alpha_account,followed_account,description,url,source_url
bearzverse,croakcity,"Multiplayer Pepe city builder. Build buildings, print CROAK, and grow a persistent city.",https://x.com/croakcity,https://x.com/bearzverse/following
bearzverse,tradefishfun,"Live swarm for AI trading agents. Every answer becomes a trade and teaches the swarm.",https://x.com/tradefishfun,https://x.com/bearzverse/following
bearzverse,NexariaWorld,"AI agents that sell services, get hired for real work, and trade skills. Paid on Solana.",https://x.com/NexariaWorld,https://x.com/bearzverse/following
bearzverse,loomecosystem,"Worlds built on Solana. No token right now.",https://x.com/loomecosystem,https://x.com/bearzverse/following
bearzverse,sonarrrwtf,"Narrative spotting and market signal tool.",https://x.com/sonarrrwtf,https://x.com/bearzverse/following
bearzverse,world_xyz,"Coming soon early project account.",https://x.com/world_xyz,https://x.com/bearzverse/following
bearzverse,sanctuairyfun,"Home of autonomous 3D companions built on threews.",https://x.com/sanctuairyfun,https://x.com/bearzverse/following
bearzverse,PathmonSOL,"Interactive fiction meets prediction pools. Choose your path.",https://x.com/PathmonSOL,https://x.com/bearzverse/following
bearzverse,PokeBinderSol,"Early card or monster-collection project account.",https://x.com/PokeBinderSol,https://x.com/bearzverse/following
bearzverse,PlayTCGArena,"On-chain trading card P2E arena. Battle cards and win prize pools.",https://x.com/PlayTCGArena,https://x.com/bearzverse/following
bearzverse,WagmiRush,"PvP jumping game powered by Solana infrastructure.",https://x.com/WagmiRush,https://x.com/bearzverse/following
bearzverse,bloxwarsfun,"Free-to-play hourly BLOXWARS duel game.",https://x.com/bloxwarsfun,https://x.com/bearzverse/following
bearzverse,Heistedxyz,"On-chain heist simulator.",https://x.com/Heistedxyz,https://x.com/bearzverse/following
bearzverse,GoPokeAgent,"Autonomous on-chain monster trainer on Solana.",https://x.com/GoPokeAgent,https://x.com/bearzverse/following
bearzverse,robinfunxyz,"Token launchpad for launching ideas and trading narratives.",https://x.com/robinfunxyz,https://x.com/bearzverse/following
bearzverse,koragamepx,"Seasonal pixel MMO on Solana. Collect, battle, trade and extract rare loot.",https://x.com/koragamepx,https://x.com/bearzverse/following
bearzverse,playrootedacres,"Play-to-earn farming RPG on Solana. Plant craft and trade. No token yet.",https://x.com/playrootedacres,https://x.com/bearzverse/following
bearzverse,SatcoinHQ,"Agent-operated mining on Solana.",https://x.com/SatcoinHQ,https://x.com/bearzverse/following
bearzverse,ChessArenaSol,"Stake-based chess on Solana with on-chain settlement.",https://x.com/ChessArenaSol,https://x.com/bearzverse/following
bearzverse,thebasement_fun,"Verified on-chain verdicts for Solana games.",https://x.com/thebasement_fun,https://x.com/bearzverse/following
bearzverse,mmorpg_fun,"Launch on-chain MMORPG game worlds in under 10 minutes on Solana.",https://x.com/mmorpg_fun,https://x.com/bearzverse/following
bearzverse,PlayMegaCity,"Floating-island game project with MEGA token contract shown.",https://x.com/PlayMegaCity,https://x.com/bearzverse/following
bearzverse,horsefun_sol,"Provably fair horse racing protocol on Solana. Pari-mutuel and verifiable on-chain.",https://x.com/horsefun_sol,https://x.com/bearzverse/following
bearzverse,soltop_sh,"Solana tool or analytics site.",https://x.com/soltop_sh,https://x.com/bearzverse/following
bearzverse,Inception_Data,"Data bounties for AI models agents and robotics companies. No token.",https://x.com/Inception_Data,https://x.com/bearzverse/following
bearzverse,blackpointxyz,"Markets needing clean data and execution without noise.",https://x.com/blackpointxyz,https://x.com/bearzverse/following
bearzverse,AxiosFi,"AI capital markets on Solana. GitHub intelligence, AXIX markets and yield infrastructure.",https://x.com/AxiosFi,https://x.com/bearzverse/following
bearzverse,useflashpoint,"Real-time edge for crypto markets.",https://x.com/useflashpoint,https://x.com/bearzverse/following
bearzverse,pulseitfun,"Cross-chain launchpad and DEX for creators and traders.",https://x.com/pulseitfun,https://x.com/bearzverse/following
bearzverse,cardcentergg,"Social collecting and cozy game. No token.",https://x.com/cardcentergg,https://x.com/bearzverse/following
bearzverse,POKEPUMPSOLL,"Early Poke Pump project account.",https://x.com/POKEPUMPSOLL,https://x.com/bearzverse/following
