message_id,datetime_utc,alpha,project,x_account,description
tg-8488,2026-06-19T05:03:04+00:00,发誓要做永赚大师,Elisym Labs,elisymlabs,Open Execution Market for AI Agents infrastructure for humans and AI agents
tg-8494,2026-06-19T06:27:56+00:00,AlphaFries,Neokitsune,NeokitsuneNft,Limited collection of 777 unique NFTs on Ethereum
tg-8495,2026-06-19T06:30:00+00:00,BearzVerse,Loom,loomecosystem,Worlds built on Solana no token right now
tg-8497,2026-06-19T06:37:22+00:00,AlphaFries,FeatherFi,FeatherFi,Native DEX and deep liquidity layer on Robin
tg-8498,2026-06-19T06:38:57+00:00,BearzVerse,Nexaria,NexariaWorld,AI agents that sell services get hired and trade skills paid on Solana
tg-8500,2026-06-19T06:47:02+00:00,BearzVerse,TradeFish,tradefishfun,Live swarm for AI trading agents every answer becomes a trade
tg-8501,2026-06-19T06:48:38+00:00,Mutu,AFK Studio,afkstudi0,Playground for ideas and experiments
tg-8502,2026-06-19T06:56:29+00:00,AlphaFries,zzznaakkee,zzznaakkee,1111 zzznaakkee coming to Ethereum free mint
tg-8503,2026-06-19T06:56:29+00:00,AlphaFries,oinkerz,oinkerznft,10000 greedy pigs about to forage on Ethereum mainnet NFT mint
tg-8504,2026-06-19T06:56:29+00:00,AlphaFries,The Unnamed,TheUnnamedETH,150 unique identities NFT collection on Ethereum
tg-8505,2026-06-19T06:58:04+00:00,BTC alpha,Cournot Protocol,CournotProtocol,AI Native Oracle that interprets reality and proves it
tg-8507,2026-06-19T07:36:00+00:00,BearzVerse,Croak City,croakcity,Multiplayer city builder print CROAK and grow a persistent city
